### SYSTEM         = Linux lass 4.14.11debug+ #1 SMP Tue Jan 14 02:29:01 PST 2020 x86_64 x86_64 x86_64 GNU/Linux
### DISK_SIZE      = 32G
### DURATION       = 30s
### DIRECTIO       = bufferedio,directio
### MEDIA_TYPES    = ssd,hdd,nvme,mem
### FS_TYPES       = ext4,ext4_no_jnl,xfs,btrfs,f2fs
### BENCH_TYPES    = DWAL,DWOL,DWOM,DWSL,DWSM,MWRL,MWRM,MWCL,MWCM,MWUM,MWUL,DWTL,DWSM10,DWSM100,DWSM1000,DWSM10000,DWSL10,DWSL100,DWSL1000,DWSL10000,filebench_varmail,filebench_oltp,filebench_fileserver,dbench_client,MRPL,MRPM,MRPH,MRDM,MRDL,DRBH,DRBM,DRBL,DWRM
### NCORES         = 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
### CORE_SEQ       = 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119


### MODEL_NAME     = Intel(R) Xeon(R) CPU E7-8870 v2 @ 2.30GHz
### PHYSICAL_CHIPS = 8
### CORE_PER_CHIP  = 15
### SMT_LEVEL      = 1


## nvme:f2fs:DRBM:120:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

120 29.998498 3893243.000000 129781.264238 30.0952 5.47 0 115.94 2519.76 868.49 0 0.04 0 0 0.155854 0 3.30342 71.7942 24.7454 0 0.0011397 0 0

## nvme:f2fs:DRBM:119:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

119 29.999035 3893561.000000 129789.539928 30.0957 4.03 0 113.69 2531.68 874.63 0 0 0 0 0.114358 0 3.22614 71.8405 24.819 0 0 0 0

## nvme:f2fs:DRBM:118:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

118 29.999004 3893624.000000 129791.777734 30.0931 4.06 0 116.82 2529.18 873.14 0 0 0 0 0.115236 0 3.31574 71.7864 24.7826 0 0 0 0

## nvme:f2fs:DRBM:117:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

117 29.999308 3894127.000000 129807.227664 30.0943 3.99 0 111.57 2564.14 848.65 0 0 0 0 0.113084 0 3.1621 72.6725 24.0523 0 0 0 0

## nvme:f2fs:DRBM:116:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

116 29.998653 3894444.000000 129820.628946 30.0934 3.88 0 118.51 2558.8 844.51 0 0 0 0 0.110049 0 3.36132 72.5757 23.953 0 0 0 0

## nvme:f2fs:DRBM:115:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

115 29.999148 3894498.000000 129820.285805 30.0956 3.52 0 110.53 2566.76 849.47 0 0.01 0 0 0.0997085 0 3.1309 72.7068 24.0623 0 0.000283263 0 0

## nvme:f2fs:DRBM:114:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

114 29.999334 3894406.000000 129816.413170 30.0944 4.1 0 112.05 2563.71 846.46 0 0 0 0 0.116269 0 3.17753 72.7021 24.0041 0 0 0 0

## nvme:f2fs:DRBM:113:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

113 29.998886 3894967.000000 129837.052892 30.0925 3.87 0 114.54 2592.39 818.34 0 0 0 0 0.109658 0 3.24555 73.4567 23.1881 0 0 0 0

## nvme:f2fs:DRBM:112:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

112 29.999654 3894918.000000 129832.096392 30.0936 4.06 0 110.91 2595.98 819.75 0 0.01 0 0 0.114991 0 3.14129 73.5257 23.2177 0 0.000283229 0 0

## nvme:f2fs:DRBM:111:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

111 29.999740 3894933.000000 129832.224940 30.0938 3.86 0 114.89 2591.18 815.95 0 0 0 0 0.109476 0 3.25848 73.4903 23.1417 0 0 0 0

## nvme:f2fs:DRBM:110:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

110 29.999710 3894864.000000 129830.054827 30.0913 4 0 108.69 2596.7 819.98 0 0 0 0 0.113335 0 3.07959 73.574 23.233 0 0 0 0

## nvme:f2fs:DRBM:109:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

109 29.999953 3894791.000000 129826.570697 30.0927 3.97 0 118.6 2619.74 785.97 0 0.01 0 0 0.112519 0 3.3614 74.2496 22.2762 0 0.000283423 0 0

## nvme:f2fs:DRBM:108:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

108 29.999072 3894911.000000 129834.382156 30.0911 3.52 0 105.23 2629.74 791.97 0 0 0 0 0.0997037 0 2.98063 74.4872 22.4325 0 0 0 0

## nvme:f2fs:DRBM:107:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

107 29.999303 3895044.000000 129837.815190 30.095 3.78 0 105.23 2632.25 793.54 0 0 0 0 0.106937 0 2.97697 74.4667 22.4494 0 0 0 0

## nvme:f2fs:DRBM:106:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

106 29.999190 3894777.000000 129829.403679 30.0932 3.72 0 108.95 2629.01 790.37 0 0 0 0 0.105321 0 3.08461 74.433 22.3771 0 0 0 0

## nvme:f2fs:DRBM:105:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

105 29.998928 3894846.000000 129832.839566 30.091 3.82 0 108.77 2658.91 763.78 0 0 0 0 0.108054 0 3.0767 75.2107 21.6045 0 0 0 0

## nvme:f2fs:DRBM:104:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

104 29.999461 3894912.000000 129832.733452 30.0914 3.98 0 111.47 2658.95 762.53 0 0 0 0 0.112527 0 3.1516 75.1768 21.5591 0 0 0 0

## nvme:f2fs:DRBM:103:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

103 30.000061 3895253.000000 129841.504799 30.0918 3.7 0 106.49 2663.38 766.06 0 0 0 0 0.104531 0 3.00851 75.2446 21.6424 0 0 0 0

## nvme:f2fs:DRBM:102:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

102 29.999371 3894918.000000 129833.322214 30.0897 3.5 0 102.11 2697.24 739.79 0 0 0 0 0.0987964 0 2.88231 76.1364 20.8824 0 0 0 0

## nvme:f2fs:DRBM:101:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

